[2024-10-28 08:19:24] Error in update_lead_stage.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'previous_stage_id' in 'field list' in /hosting/www/evolagency.com/html/php/update_lead_stage.php on line 50
[2024-10-30 17:58:54] Error in add_lead.php: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'name' cannot be null in /hosting/www/evolagency.com/html/php/add_lead.php on line 28
[2024-10-30 17:59:57] Error in update_lead_stage.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'action_type' in 'field list' in /hosting/www/evolagency.com/html/php/update_lead_stage.php on line 103
[2024-10-30 18:01:34] Error in update_lead_stage.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'created_by' in 'field list' in /hosting/www/evolagency.com/html/php/update_lead_stage.php on line 139
[2024-10-30 18:01:37] Error in update_lead_stage.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'created_by' in 'field list' in /hosting/www/evolagency.com/html/php/update_lead_stage.php on line 139
[2024-10-30 18:01:41] Error in update_lead_stage.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'created_by' in 'field list' in /hosting/www/evolagency.com/html/php/update_lead_stage.php on line 139
[2024-10-30 18:29:54] Error in add_lead.php: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'name' cannot be null in /hosting/www/evolagency.com/html/php/add_lead.php on line 28
[2024-10-30 18:29:57] Error in add_lead.php: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'name' cannot be null in /hosting/www/evolagency.com/html/php/add_lead.php on line 28
[2024-10-30 18:30:01] Error in add_lead.php: SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'name' cannot be null in /hosting/www/evolagency.com/html/php/add_lead.php on line 28
[2024-11-07 08:21:43] Error in update_lead_stage.php: Lead not found or access denied in /hosting/www/evolagency.com/html/php/update_lead_stage.php on line 125
[2025-01-14 09:57:58] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 09:58:58] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:13:59] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:17:38] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:30:53] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:31:52] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:32:52] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:33:52] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:34:52] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:35:53] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:38:53] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:39:52] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:40:53] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:40:59] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:41:54] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:41:59] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:43:06] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:43:54] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:44:07] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:44:54] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:47:59] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:48:59] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:49:59] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:51:44] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 10:52:44] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:02:43] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:03:43] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:04:44] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:05:45] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:07:10] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:08:11] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:09:11] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:09:34] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:10:11] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:11:11] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
[2025-01-14 11:12:12] Error in get_due_recontacts.php: SQLSTATE[42S22]: Column not found: 1054 Unknown column 'l.recontact_date' in 'field list'
